海南联通-组播1,#genre#

CCTV4K,http://113.58.16.19:8188/udp/239.254.96.56:7432
CCTV16 4K,http://113.58.16.19:8188/udp/239.254.96.170:8206
北京卫视4K,http://113.58.16.19:8188/udp/239.254.96.158:8220
广东卫视4K,http://113.58.16.19:8188/udp/239.254.96.159:8220
深圳卫视4K,http://113.58.16.19:8188/udp/239.254.96.160:8220
深圳卫视4K,http://113.58.16.19:8188/udp/239.254.96.68:7528
爱上4K,http://113.58.16.19:8188/udp/239.254.96.193:8182
爱上4K,http://113.58.16.19:8188/udp/239.254.96.102:7800
CCTV1,http://113.58.16.19:8188/udp/239.254.96.82:7640
CCTV2,http://113.58.16.19:8188/udp/239.254.96.124:7084
CCTV3,http://113.58.16.19:8188/udp/239.254.96.67:7520
CCTV4,http://113.58.16.19:8188/udp/239.254.96.180:7092
CCTV5,http://113.58.16.19:8188/udp/239.254.96.66:7512
CCTV5+,http://113.58.16.19:8188/udp/239.254.96.83:7004
CCTV6,http://113.58.16.19:8188/udp/239.254.96.63:7488
CCTV7,http://113.58.16.19:8188/udp/239.254.96.125:7104
CCTV8,http://113.58.16.19:8188/udp/239.254.96.62:7480
CCTV9,http://113.58.16.19:8188/udp/239.254.96.126:7112
CCTV10,http://113.58.16.19:8188/udp/239.254.96.127:7116
CCTV11,http://113.58.16.19:8188/udp/239.254.96.187:8166
CCTV12,http://113.58.16.19:8188/udp/239.254.96.128:7124
CCTV13,http://113.58.16.19:8188/udp/239.254.96.200:8205
CCTV14,http://113.58.16.19:8188/udp/239.254.96.129:7132
CCTV15,http://113.58.16.19:8188/udp/239.254.96.188:8170
CCTV17,http://113.58.16.19:8188/udp/239.254.96.57:8204
CETV1,http://113.58.16.19:8188/udp/239.254.96.155:7152
CGTN纪录,http://113.58.16.19:8188/udp/239.254.96.58:7448
金鹰纪实,http://113.58.16.19:8188/udp/239.254.96.154:7156
国学,http://113.58.16.19:8188/udp/239.254.96.141:8094
重庆卫视,http://113.58.16.19:8188/udp/239.254.96.60:7464
重庆卫视,http://113.58.16.19:8188/udp/239.254.96.198:8198
江苏卫视,http://113.58.16.19:8188/udp/239.254.96.88:7688
浙江卫视,http://113.58.16.19:8188/udp/239.254.96.89:7696
东方卫视,http://113.58.16.19:8188/udp/239.254.96.90:7704
深圳卫视,http://113.58.16.19:8188/udp/239.254.96.87:7020
北京卫视,http://113.58.16.19:8188/udp/239.254.96.84:7656
山东卫视,http://113.58.16.19:8188/udp/239.254.96.131:7052
天津卫视,http://113.58.16.19:8188/udp/239.254.96.183:7364
贵州卫视,http://113.58.16.19:8188/udp/239.254.96.182:7076
黑龙江卫视,http://113.58.16.19:8188/udp/239.254.96.86:7672
安徽卫视,http://113.58.16.19:8188/udp/239.254.96.133:7064
江西卫视,http://113.58.16.19:8188/udp/239.254.96.61:7472
湖北卫视,http://113.58.16.19:8188/udp/239.254.96.91:7712
旅游卫视,http://113.58.16.19:8188/udp/239.254.96.179:7154
东南卫视,http://113.58.16.19:8188/udp/239.254.96.189:8172
吉林卫视,http://113.58.16.19:8188/udp/239.254.96.65:7504
辽宁卫视,http://113.58.16.19:8188/udp/239.254.96.132:7056
湖南卫视,http://113.58.16.19:8188/udp/239.254.96.85:7664
广东卫视,http://113.58.16.19:8188/udp/239.254.96.130:7048
河南卫视,http://113.58.16.19:8188/udp/239.254.96.178:8220
河北卫视,http://113.58.16.19:8188/udp/239.254.96.181:7072
宁夏卫视,http://113.58.16.19:8188/udp/239.254.96.171:8220
甘肃卫视,http://113.58.16.19:8188/udp/239.254.96.177:8220
新疆卫视,http://113.58.16.19:8188/udp/239.254.96.162:8220
西藏卫视,http://113.58.16.19:8188/udp/239.254.96.163:8220
兵团卫视,http://113.58.16.19:8188/udp/239.254.96.161:8220
三沙卫视,http://113.58.16.19:8188/udp/239.254.96.184:7158
睛彩竞技,http://113.58.16.19:8188/udp/239.254.96.172:8220
睛彩广场舞,http://113.58.16.19:8188/udp/239.254.96.175:8220
睛彩篮球,http://113.58.16.19:8188/udp/239.254.96.173:8220
睛彩青少,http://113.58.16.19:8188/udp/239.254.96.174:8220
古装剧场,http://113.58.16.19:8188/udp/239.254.96.137:8078
军旅剧场,http://113.58.16.19:8188/udp/239.254.96.74:7576
军旅剧场,http://113.58.16.19:8188/udp/239.254.96.136:8070
少儿动画,http://113.58.16.19:8188/udp/239.254.96.79:7616
爱体育,http://113.58.16.19:8188/udp/239.254.96.101:7792
收视指南,http://113.58.16.19:8188/udp/239.254.96.17:7120
IPTV谍战剧场,http://113.58.16.19:8188/udp/239.254.96.77:7600
IPTV相声小品,http://113.58.16.19:8188/udp/239.254.96.78:7608
IPTV野外,http://113.58.16.19:8188/udp/239.254.96.80:7624
IPTV法治,http://113.58.16.19:8188/udp/239.254.96.81:7632
经典电影,http://113.58.16.19:8188/udp/239.254.96.75:7584
城市剧场,http://113.58.16.19:8188/udp/239.254.96.150:8114
音乐现场,http://113.58.16.19:8188/udp/239.254.96.138:8082
地理,http://113.58.16.19:8188/udp/239.254.96.139:8086
美人,http://113.58.16.19:8188/udp/239.254.96.96:8718
精选,http://113.58.16.19:8188/udp/239.254.96.73:8212
解密,http://113.58.16.19:8188/udp/239.254.96.100:8066
军事,http://113.58.16.19:8188/udp/239.254.96.140:8090
戏曲,http://113.58.16.19:8188/udp/239.254.96.142:8096
早教,http://113.58.16.19:8188/udp/239.254.96.143:8098
动画,http://113.58.16.19:8188/udp/239.254.96.93:8708
好学生,http://113.58.16.19:8188/udp/239.254.96.144:7994
墨宝,http://113.58.16.19:8188/udp/239.254.96.94:8714
台球,http://113.58.16.19:8188/udp/239.254.96.95:8716
台球,http://113.58.16.19:8188/udp/239.254.96.98:8762
爱生活,http://113.58.16.19:8188/udp/239.254.96.145:7996
高网,http://113.58.16.19:8188/udp/239.254.96.99:8764
足球,http://113.58.16.19:8188/udp/239.254.96.146:7998
武侠剧场,http://113.58.16.19:8188/udp/239.254.96.92:8706
喜剧影院,http://113.58.16.19:8188/udp/239.254.96.147:8106
动作影院,http://113.58.16.19:8188/udp/239.254.96.148:8108
IPTV电影,http://113.58.16.19:8188/udp/239.254.96.149:8110
IPTV电视剧,http://113.58.16.19:8188/udp/239.254.96.76:7592
海南公共,http://113.58.16.19:8188/udp/239.254.96.186:8164
海南少儿,http://113.58.16.19:8188/udp/239.254.96.192:8178
海南文旅,http://113.58.16.19:8188/udp/239.254.96.191:8176
海南新闻,http://113.58.16.19:8188/udp/239.254.96.190:8174
海南自贸,http://113.58.16.19:8188/udp/239.254.96.185:8162
爱大剧,http://113.58.16.19:8188/udp/239.254.96.8:7048
爱电影,http://113.58.16.19:8188/udp/239.254.96.6:7016
爱综艺,http://113.58.16.19:8188/udp/239.254.96.3:7004
电信宣传,http://113.58.16.19:8188/udp/239.254.96.164:8134
CCTV2,http://113.58.16.19:8188/udp/239.254.96.2:7000
CCTV4,http://113.58.16.19:8188/udp/239.254.96.4:7016
CCTV9,http://113.58.16.19:8188/udp/239.254.96.9:7056
CCTV10,http://113.58.16.19:8188/udp/239.254.96.10:7064
CCTV11,http://113.58.16.19:8188/udp/239.254.96.11:7072
CCTV12,http://113.58.16.19:8188/udp/239.254.96.12:7080
CCTV13,http://113.58.16.19:8188/udp/239.254.96.13:7264
CCTV14,http://113.58.16.19:8188/udp/239.254.96.14:7236
CCTV15,http://113.58.16.19:8188/udp/239.254.96.15:7104
CETV1,http://113.58.16.19:8188/udp/239.254.96.167:8142
CETV2,http://113.58.16.19:8188/udp/239.254.96.168:8146
CETV4,http://113.58.16.19:8188/udp/239.254.96.169:8148
CGTN,http://113.58.16.19:8188/udp/239.254.96.16:7112
重庆卫视,http://113.58.16.19:8188/udp/239.254.96.42:7320
江苏卫视,http://113.58.16.19:8188/udp/239.254.96.27:7200
浙江卫视,http://113.58.16.19:8188/udp/239.254.96.26:7284
东方卫视,http://113.58.16.19:8188/udp/239.254.96.41:7312
深圳卫视,http://113.58.16.19:8188/udp/239.254.96.39:7296
北京卫视,http://113.58.16.19:8188/udp/239.254.96.29:7216
山东卫视,http://113.58.16.19:8188/udp/239.254.96.32:7240
天津卫视,http://113.58.16.19:8188/udp/239.254.96.30:7224
贵州卫视,http://113.58.16.19:8188/udp/239.254.96.38:7288
四川卫视,http://113.58.16.19:8188/udp/239.254.96.36:7272
云南卫视,http://113.58.16.19:8188/udp/239.254.96.33:7248
广西卫视,http://113.58.16.19:8188/udp/239.254.96.46:7352
黑龙江卫视,http://113.58.16.19:8188/udp/239.254.96.35:7264
安徽卫视,http://113.58.16.19:8188/udp/239.254.96.28:7208
